ID	BK	SR	Month	Country	Project	Samples	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
BG1472	BG09	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	43	43	25.61194444	Artificial	High	16.89999962	54.60000229		
BG1473	BG09	SR02	21/05/2023	Bulgaria	INSIGNIA-EU	Yes	43	43	25.61194444	Artificial	High	16.89999962	54.60000229		
BG1474	BG10	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	44	44	27.87735	Agricultural	Low	15.69999981	38.40000153		
BG1475	BG10	SR02	21/05/2023	Bulgaria	INSIGNIA-EU	Yes	44	44	27.87735	Agricultural	Low	15.69999981	38.40000153		
S1476	ES01	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	41	41	2.261719444	Forest/Natural	High	17.89999962	40		
S1477	ES01	SR02	18/05/2023	Spain	INSIGNIA-EU	No	41	41	2.261719444	Forest/Natural	High	17.89999962	40		
S1479	ES02	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.334694444	Agricultural	High	16.20000076	51.60000229		
S1480	ES03	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.798527778	Forest/Natural	High	14.80000019	64.30000305		
S1481	ES03	SR02	19/05/2023	Spain	INSIGNIA-EU	No	41	41	-3.798527778	Forest/Natural	High	14.80000019	64.30000305		
S1482	ES04	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.023016667	Forest/Natural	High	17.10000038	46.90000153		
S1483	ES04	SR02	18/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.023016667	Forest/Natural	High	17.10000038	46.90000153		
S1484	ES05	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.694038889	Forest/Natural	Low	14.80000019	64.30000305		
S1485	ES05	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.694038889	Forest/Natural	Low	14.80000019	64.30000305		
S1486	ES06	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.582138889	Agricultural	High	17.89999962	41.10000229		
S1487	ES06	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.582138889	Agricultural	High	17.89999962	41.10000229		
S1488	ES07	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.782472222	Forest/Natural	High	15.19999981	57.79999924		
S1489	ES07	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.782472222	Forest/Natural	High	15.19999981	57.79999924		
