ID	BK	SR	Month	Country	Project	Problems	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
BG1472	BG09	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	43	43	25.61194444	Artificial	High	17.70000076	45.5		
BG1473	BG09	SR02	21/05/2023	Bulgaria	INSIGNIA-EU	Yes	43	43	25.61194444	Artificial	High	17.70000076	45.5		
BG1474	BG10	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	44	44	27.87735	Agricultural	Low	16.30000114	29.80000114		
BG1475	BG10	SR02	21/05/2023	Bulgaria	INSIGNIA-EU	Yes	44	44	27.87735	Agricultural	Low	16.30000114	29.80000114		
S1476	ES01	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	41	41	2.261719444	Forest/Natural	High	19.30000114	43.60000229		
S1477	ES01	SR02	18/05/2023	Spain	INSIGNIA-EU	No	41	41	2.261719444	Forest/Natural	High	19.30000114	43.60000229		
S1479	ES02	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.334694444	Agricultural	High	17.70000076	12.40000057		
S1480	ES03	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.798527778	Forest/Natural	High	16.20000076	14.80000019		
S1481	ES03	SR02	19/05/2023	Spain	INSIGNIA-EU	No	41	41	-3.798527778	Forest/Natural	High	16.20000076	14.80000019		
S1482	ES04	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.023016667	Forest/Natural	High	18.5	9.100000381		
S1483	ES04	SR02	18/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.023016667	Forest/Natural	High	18.5	9.100000381		
S1484	ES05	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.694038889	Forest/Natural	Low	16.20000076	14.80000019		
S1485	ES05	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.694038889	Forest/Natural	Low	16.20000076	14.80000019		
S1486	ES06	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.582138889	Agricultural	High	19.20000076	8.600000381		
S1487	ES06	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-3.582138889	Agricultural	High	19.20000076	8.600000381		
S1488	ES07	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.782472222	Forest/Natural	High	16.80000114	14.19999981		
S1489	ES07	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.782472222	Forest/Natural	High	16.80000114	14.19999981		
S1490	ES08	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.209038889	Agricultural	Medium	17.70000076	12.40000057		
S1491	ES08	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.209038889	Agricultural	Medium	17.70000076	12.40000057		
S1492	ES09	SR01	07/05/2023	Spain	INSIGNIA-EU	Yes	43	43	-2.398847222	Forest/Natural	Medium	16	22.20000076		
S1494	ES10	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.248858333	Agricultural	Medium	15.90000057	14.10000038		
S1495	ES10	SR02	18/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.248858333	Agricultural	Medium	15.90000057	14.10000038		
S1496	ES11	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	39	39	-0.655191667	Agricultural	Medium	19.39999962	25.60000038		
S1497	ES11	SR02	20/05/2023	Spain	INSIGNIA-EU	Yes	39	39	-0.655191667	Agricultural	Medium	19.39999962	25.60000038		
S1498	ES12	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	38	38	-0.615586111	Agricultural	High	20.30000114	28.30000114		
S1499	ES12	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	38	38	-0.615586111	Agricultural	High	20.30000114	28.30000114		
S1500	ES13	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-7.201355556	Agricultural	High	20.30000114	11.40000057		
S1501	ES13	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-7.201355556	Agricultural	High	20.30000114	11.40000057		
S1502	ES14	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-6.323038889	Agricultural	High	18.70000076	12.30000019		
S1503	ES14	SR02	26/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-6.323038889	Agricultural	High	18.70000076	12.30000019		
S1504	ES15	SR01	07/05/2023	Spain	INSIGNIA-EU	No	40	40	-6.352686111	Forest/Natural	Medium	18.70000076	12.30000019		
S1505	ES15	SR02	21/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-6.352686111	Forest/Natural	Medium	18.70000076	12.30000019		
S1506	ES16	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	43	43	-5.911677778	Forest/Natural	High	15.30000019	30.20000076		
S1507	ES16	SR02	20/05/2023	Spain	INSIGNIA-EU	Yes	43	43	-5.911677778	Forest/Natural	High	15.30000019	30.20000076		
S1508	ES17	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.481875	Agricultural	Low	17.70000076	12.40000057		
S1509	ES17	SR02	20/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.481875	Agricultural	Low	17.70000076	12.40000057		
S1510	ES18	SR01	07/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.434288889	Forest/Natural	Medium	14.60000038	19.60000038		
S1511	ES18	SR02	21/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.434288889	Forest/Natural	Medium	14.60000038	19.60000038		
S1512	ES19	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	41	41	1.759361111	Forest/Natural	High	18.70000076	46.60000229		
S1513	ES19	SR02	18/05/2023	Spain	INSIGNIA-EU	Yes	41	41	1.759361111	Forest/Natural	High	18.70000076	46.60000229		
S1514	ES20	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.126025	Forest/Natural	Medium	14.60000038	19.60000038		
S1515	ES20	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.126025	Forest/Natural	Medium	14.60000038	19.60000038		
IR1516	IE01	SR01	06/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-8.009566667	Agricultural	Medium	11.19999981	98.70000458		
IR1517	IE01	SR02	20/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-8.009566667	Agricultural	Medium	11.19999981	98.70000458		
IR1518	IE02	SR01	05/05/2023	Ireland	INSIGNIA-EU	No	54	54	-9.001819444	Agricultural	Medium	11.80000019	76.20000458		
IR1519	IE02	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-9.001819444	Agricultural	Medium	11.80000019	76.20000458		
IR1520	IE03	SR01	06/05/2023	Ireland	INSIGNIA-EU	No	53	53	-8.643619444	Artificial	High	12.5	63.20000076		
IR1521	IE03	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-8.643619444	Artificial	High	12.5	63.20000076		
IR1522	IE04	SR01	04/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-6.718844444	Agricultural	Medium	12.19999981	61.79999924		
IR1523	IE04	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-6.718844444	Agricultural	Medium	12.19999981	61.79999924		
IR1524	IE05	SR01	07/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.062311111	Artificial	High	11.60000038	68		
IR1525	IE05	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.062311111	Artificial	High	11.60000038	68		
IR1526	IE06	SR01	04/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.289933333	Artificial	Medium	11.60000038	68		
IR1527	IE06	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.289933333	Artificial	Medium	11.60000038	68		
IR1528	IE07	SR01	05/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-9.030088889	Agricultural	Low	11.90000057	68		
IR1529	IE07	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-9.030088889	Agricultural	Low	11.90000057	68		
IR1530	IE08	SR01	04/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.948916667	Agricultural	High	11.80000019	66.70000458		
IR1531	IE08	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.948916667	Agricultural	High	11.80000019	66.70000458		
IR1532	IE09	SR01	05/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-8.081063889	Agricultural	Low	11.90000057	71.09999847		
IR1533	IE09	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-8.081063889	Agricultural	Low	11.90000057	71.09999847		
IR1534	IE10	SR01	05/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-6.637511111	Agricultural	High	12.10000038	70.09999847		
IR1535	IE10	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-6.637511111	Agricultural	High	12.10000038	70.09999847		
D1536	DK01	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.57672222	Agricultural	High	12.30000019	38.10000229		
D1537	DK01	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.57672222	Agricultural	High	12.30000019	38.10000229		
D1538	DK02	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	55	55	11.57086111	Agricultural	High	12	39.5		
D1539	DK02	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	55	55	11.57086111	Agricultural	High	12	39.5		
D1540	DK03	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.92163889	Artificial	High	12.30000019	38.10000229		
D1541	DK03	SR02	21/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.92163889	Artificial	High	12.30000019	38.10000229		
D1542	DK04	SR01	06/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	12.29213889	Agricultural	High	12.60000038	36.5		
D1543	DK04	SR02	20/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	12.29213889	Agricultural	High	12.60000038	36.5		
D1544	DK05	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	57	57	9.596416667	Agricultural	Medium	11.40000057	44.90000153		
D1545	DK05	SR02	21/05/2023	Denmark	INSIGNIA-EU	Yes	57	57	9.596416667	Agricultural	Medium	11.40000057	44.90000153		
D1546	DK06	SR01	07/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.03769444	Artificial	High	12	40.79999924		
D1547	DK06	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.03769444	Artificial	High	12	40.79999924		
D1548	DK09	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	8.264666667	Agricultural	Medium	11.5	46.79999924		
D1549	DK09	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	8.264666667	Agricultural	Medium	11.5	46.79999924		
D1550	DK10	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	10.16905556	Artificial	High	11.60000038	41.29999924		
D1551	DK10	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	10.16905556	Artificial	High	11.60000038	41.29999924		
NL1552	NL01	SR01	05/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	6.410919	Agricultural	Medium	15	47		
NL1553	NL01	SR02	21/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	6.410919	Agricultural	Medium	15	47		
NL1554	NL02	SR01	07/05/2023	Netherlands	INSIGNIA-EU	Yes	51	51	4.103449	Agricultural	Low	15.19999981	51.79999924		
NL1555	NL02	SR02	21/05/2023	Netherlands	INSIGNIA-EU	Yes	51	51	4.103449	Agricultural	Low	15.19999981	51.79999924		
