"species","n_records","crop","countries","sites","sites2","abundance","temp.mean","temp.sd","temp.median","temp.q05","temp.q25","temp.q75","temp.q90","temp.q95","temp.q99","temp.max","prec.mean","prec.sd","prec.median","prec.q01","prec.q05","prec.q10","prec.q25","prec.q50","prec.q75","prec.min"
"64","Cornus sanguinea",103,FALSE,17,1320,88,0.00326215265710165,17.6769862677783,1.73520796967784,17.5,14.8228231453386,16.506606277772,18.8473662577845,19.9007447578644,20.531149390218,21.713683639057,21.5,77.828486374999,5.48529865572174,8.60813559779352,3.3735725476432,4.96968076400849,5.82056014811269,7.24234229148028,8.82204547568187,10.4017486598835,4.87852448389879
"65","Vicia faba",104,TRUE,16,1044,58,0.0084005219815918,16.4860720918046,1.72111088277396,16.5,13.6550966138882,15.3252004424227,17.6469437411866,18.6917644380994,19.317047569721,20.4899747349344,24,54.9246307619895,4.65737083815354,7.01427122087534,2.39063735668415,3.86136618004156,4.64540627367156,5.95550289327759,7.41111535209037,8.86672781090314,4.1352146715739
"66","Hypericum perforatum",230,FALSE,23,2499,119,0.00581925439074781,21.3217035611169,2.85140576362947,21,16.6315584489006,19.3984595998988,23.244947522335,24.9759270814991,26.0118486733331,27.9550652973641,27.5,66.1424553529533,8.84151795017493,8.74070944088636,1.21547789097904,3.2418799148195,4.32214733548307,6.12722683024392,8.13280119964538,10.1383755690468,0
"67","Matricaria chamomilla",31,FALSE,10,220,22,0.00115131169307148,18.4869746439736,1.73968333498602,19,15.6254502006749,17.3135760659386,19.6603732220087,20.7164685454768,21.3484990872724,22.5340832718227,22,59.5219387435365,4.71350771719957,8.24621125123532,2.66440212301701,4.14396799518587,4.93271908683773,6.25068757758092,7.71504625673343,9.17940493588593,4.69041575982343
"68","Centaurea cyanus",250,FALSE,19,1760,80,0.0168915753118562,18.3491557934135,2.10728135447629,18,14.8829864144959,16.9278161190399,19.770495467787,21.0497455122855,21.815325172331,23.2514252924053,25.5,70.0119284786215,4.64119192812695,8.38450970838486,3.35556282987134,4.8237349006249,5.60641199890247,6.91423111303619,8.36731309791988,9.82039508280356,2.12132034355964
"70","Photinia spc",10,FALSE,5,45,9,0.000157487452825268,15.2677664974619,1.36243741553186,15,13.02675637303,14.348816425402,16.1867165695218,17.0138003002933,17.5087766218939,18.4372698825982,17.5,66.4287046544136,1.71459116776898,8.01249053540783,5.10420494522983,5.99656985677878,6.4722862891295,7.26718758942937,8.15038064475602,9.03357370008268,6.51152835592382
"71","Echium vulgare",110,FALSE,20,1292,68,0.00409880540926688,19.335285505124,2.69199853996872,19,14.9073419429084,17.5195600823723,21.1510109278758,22.7852204484647,23.7632290673397,25.5978105855013,27,64.1977504773135,7.59672661321925,8.23407572530154,1.6004326511103,3.47877799570126,4.48011694850742,6.15331043415881,8.01234987237287,9.87138931058692,1.51657507298518
"73","Plantago media",136,FALSE,17,870,58,0.00426340079109791,19.8049718574107,2.31329844673855,20,15.9999345170716,18.244675765941,21.3652679488804,22.7695831034004,23.6100091977498,25.1865087810029,25.5,101.9689882073,4.64179609582448,10.1636609103216,5.08589304910948,6.55416067648816,7.336888715649,8.64479294976512,10.097969509129,11.551146068493,3.68781783443814
"74","Arrhenatherum elatius",11,FALSE,6,77,11,0.000172452855521482,17.6546511627907,4.29193033050922,19,10.5950539920296,14.7597881463065,20.5495141792748,23.1549811970631,24.7142483335518,27.6391741627022,22,75.970910021871,1.6835784213572,8.8994384418344,5.69762823716794,6.58188597607569,7.05328050469016,7.840960093344,8.71612930272785,9.59129851211169,5.33853912601566
"75","Sisymbrium loeselii",9,FALSE,3,30,6,0.000291837094009795,18.6856164383561,2.35530483542318,17,14.811484737234,17.0969874682759,20.2742454084363,21.7040610375275,22.5597481394783,24.164874834961,22.5,69.3355356135776,1.10384041983779,8.14861960886628,5.88264652619248,6.59865034798009,6.98034933596366,7.61815160899424,8.32679623946555,9.03544086993685,7.35527037504401
"77","Melilotus albus",142,FALSE,21,1886,82,0.00372947489095931,19.3394293682292,2.5618423931947,18.5,15.1255736161049,17.6114929324016,21.0673658040568,22.6225624979064,23.5532851203536,25.2991659732654,27.5,86.329231479551,3.7238908685101,9.30591201709967,4.80210933924686,6.1172150589559,6.81829305187931,7.98976363874268,9.29135251077856,10.5929413828144,3.74165738677394
"78","Lythrum salicaria",127,FALSE,23,1606,73,0.00382116135446668,20.7492148241209,3.22191633272985,20,15.4496340584961,18.5760652817053,22.9223643665366,24.8782667443846,26.0487955897458,28.2445130351045,26.5,85.9704836034343,8.96340277852371,10.2907726386312,2.30718741852887,4.34750912610895,5.43519707866746,7.25267595686572,9.27202694147479,11.2913779260839,0.316227767597977
"79","Trifolium hybridum",168,FALSE,18,1628,74,0.00732808009165809,17.1668668122268,1.67355961918091,16.5,14.4141062026975,16.0380680027472,18.2956656217064,19.3116197622203,19.919627421756,21.0601486743889,23.5,110.852694828168,2.79424539567309,11.3048663459592,6.63993834184898,7.77912388794145,8.38641948726297,9.40118380637981,10.5286606379049,11.65613746943,3.82099468463383
"80","Lycium barbarum",46,FALSE,9,234,26,0.000857553105724582,22.1655783582089,2.58840153965495,22,17.9080366977007,20.4197280503199,23.9114286660979,25.4827484036118,26.4231200187171,28.1871007771492,25.5,53.6678583802835,9.59813989958413,7.70713964645769,0.118608075801101,2.22993619572839,3.3554774039659,5.23620741269825,7.32583499543113,9.41546257816401,0.836660019362704
"81","Filipendula ulmaria",175,FALSE,19,1767,93,0.00803147194470596,16.7207032222718,1.90066339741138,16,13.5943901394258,15.438725242145,18.0026812023987,19.1565013747977,19.8470163051178,21.142307476107,22.5,112.589445666355,3.72512163802507,10.7888832369249,6.12083241727867,7.43615544441821,8.13734928312871,9.30901344322297,10.610817389172,11.912621335121,3.9749214067702
"82","Quercus rubra",52,FALSE,13,690,46,0.00107623178990715,13.4290226681531,1.66378921330981,13.5,10.6923329461578,12.3068138972889,14.5512314390174,15.5612543392065,16.1657123901485,17.2995751673885,19,48.5745602219656,7.03068676647007,6.67832331427582,0.801130928694356,2.60814306256489,3.57145454468853,5.18110579417354,6.96954519477172,8.75798459536991,3.16227766016838
"83","Centaurea nigrescens",150,FALSE,11,781,71,0.00408620676240281,20.4704903592052,2.12831925213478,20.5,16.9697167180206,19.0349608384953,21.9060198799151,23.1980412287572,23.9712640003897,25.4217013266891,25.5,106.805128894426,6.13877677352831,10.0747208398049,4.57076808617161,6.25927605525746,7.15941340563245,8.66350345088455,10.3346566897225,12.0058099285604,4.92950313317681
"84","Hydrangea macrophylla",58,FALSE,12,420,35,0.00186751718021722,17.4071734475375,2.0729370053437,18,13.997495495856,16.0089986846311,18.805348210444,20.0637491120111,20.8168513992191,22.2295460429394,22.5,114.146543484618,1.66945456871276,10.7656862995352,7.67812556011825,8.55866638578457,9.02807944170364,9.81244807636268,10.6839385754795,11.5554290745962,4.8682646559118
"85","Chenopodium album",154,FALSE,20,2016,96,0.00488361751473117,22.1960278460275,2.75081886929639,22,17.6713334517787,20.3406287140411,24.0514269780138,25.7213440745039,26.7207222402762,28.5953894744865,30.5,63.5926930710312,8.42584115082394,8.38450970838486,1.22174304150454,3.19993680189801,4.25450457570185,6.01664108738115,7.97450268487203,9.93236428236291,1.14017545667323
"86","Cichorium intybus",123,TRUE,14,1360,68,0.00318670286312984,23.5443593926464,2.51479230567857,23.5,19.4078941476214,21.8481577585943,25.2405610266986,26.7671954090083,27.6808246376715,29.394641126616,27.5,36.8078584147731,11.6070030329882,4.98998994187363,-1.85869863475169,0.463087658547134,1.70082334025578,3.76902539490418,6.06694803132292,8.36487066774167,0
