"species","n_records","crop","countries","sites","sites2","abundance","temp.p90.kde","temp.p95.kde","temp.p99.kde","temp.max","prec.p01.kde","prec.p05.kde","prec.p10.kde","prec.min"
"Humulus lupulus",21,TRUE,10,20,21,0.000519635108561161,23.2827381607985,24.648967059012,25.9833518786364,24.80000114,18.2661835342494,40.3735289477718,53.6161819787008,52
"Solidago virgaurea",26,FALSE,8,18,26,0.000546147485707776,20.7537198768495,21.4885353027821,22.5331420666239,21.20000076,44.6114239746782,66.1407746348927,78.3916531223052,76.09999847
"Galeopsis bifida",12,FALSE,4,8,12,0.000331894761813834,20.1439012667771,20.9363979983952,22.1846509597053,21.5,58.2998673762735,79.0126459023816,90.8877744753453,97.09999847
"Sorghum bicolor",50,TRUE,10,34,50,0.00135302509720034,25.9870058405342,26.508756928694,27.5148597697878,27.10000038,1.74810154713422,11.2571178709454,21.3196541082224,0
"Hydrangea arborescens",11,FALSE,5,9,11,0.000548965566093937,22.506179979924,23.1584152359652,24.1174505578875,22.5,39.9774158035608,65.0954499436496,77.9070896771927,62
"Crepis foetida",40,FALSE,9,20,40,0.000706407335539447,25.3857124550464,25.8753266402982,26.7312430610334,25.60000038,1.75448900831773,10.6405953132654,19.3515286146836,12.60000038
"Chenopodium ficifolium",26,FALSE,9,20,26,0.000241856365305637,24.0019737168366,24.8922060551945,26.0277880231799,25,9.17968104533094,29.9089960112922,44.385669038923,17.20000076
"Arctium lappaceum",6,FALSE,4,6,6,7.46998021723383e-05,21.9384811550764,22.3297082457581,23.0539973759348,21.10000038,8.78109725937424,25.4811256603707,36.6823803961936,39.79999924
"Tropaeolum majus",22,FALSE,9,16,22,0.00129276355630989,20.614147630501,21.2286662222135,22.3048430585121,21.20000076,0.424586503644204,5.67412242197569,11.7096920853589,12.5
"Bassia scoparia",8,FALSE,4,6,8,0.000177522358137852,27.0474548642929,27.5347425968354,28.3744037444728,26.60000038,0.22801179230178,4.74481786153645,9.91664185106457,12.60000038
"Buphthalmum salicifolium",7,FALSE,2,3,7,0.00021693702696526,21.0624276096774,21.7859196800817,24.0998746824104,23.80000114,70.9490581292183,92.0019690706191,102.270942915738,91.70000458
"Salix pentandra",113,FALSE,11,68,113,0.00526068203620758,17.8120582871219,18.6884348258214,20.2587377778785,19.89999962,0.113334883864803,4.14079845265682,8.61827765464293,10.30000019
"Salix purpurea",9,FALSE,2,9,9,0.000325498907128473,14.9684835757622,15.356643804332,16.0774479142387,14.10000038,2.16609804643066,10.6776435955238,17.6180450030365,40.40000153
"Resedaceae spc",10,FALSE,4,6,10,0.000271727434669598,27.4748775480086,27.8822552894249,28.6160122767917,26.5,12.90000057,2.54111034074574,5.84274481115539,12.90000057
"Cytisus scoparius",42,FALSE,12,26,42,0.00154415497945327,20.352336269071,21.2256866582498,23.3836865579359,23.20000076,2.62260873867917,12.8787828438065,21.7330866042682,14.10000038
"Salix repens",47,FALSE,12,32,47,0.00176359270697975,15.1867874308492,16.218629440452,17.6758116917494,17.5,0.723419323836713,6.59087312169837,12.5774514077692,12
"Borago officinalis",18,FALSE,9,15,18,0.000573981200587017,20.5335380187517,21.3392678561934,23.2131984986466,23.30000114,3.45895599799474,15.8138416289823,26.4589267678762,12.5
"Sorbus aucuparia",96,FALSE,13,74,96,0.00264125909593638,16.6851249867616,17.3532722639016,18.515841449901,19.20000076,0.270415725312364,4.7772688544202,9.6213969355749,12.19999981
"Rumex acetosa",83,FALSE,14,41,83,0.00490879364459971,21.0465306267206,21.6893140793995,22.8135049522069,23.20000076,4.03582792274541,17.0542879488565,27.6552773053437,7.5
"Bellis perennis",21,FALSE,8,17,21,0.000590657116190187,19.4031978134049,20.0633027565725,21.0827723905884,19.70000076,0.100586206173627,4.10938984643846,8.61591285805916,10
"Viburnum opulus",10,FALSE,5,10,10,0.000201078348744473,18.8933362235125,19.4428322698141,20.4670903188368,19.5,1.72524878043538,9.88002699860558,17.2411613218995,29.80000114
"Sorbus hibernica",16,FALSE,5,14,16,0.000289868309157956,18.8487698093454,20.2847850114325,21.5481555657503,20.30000114,0.599529853232481,5.97140902479885,11.3435958202651,20.89999962
"Prunus serotina",35,FALSE,6,29,35,0.00167533279364727,20.181386844717,20.6161414316122,21.4026030843176,19.70000076,1.15856274464366,8.02524141488295,14.5477555694411,23.70000076
"Photinia serratifolia",14,FALSE,4,13,14,0.000319133539754215,16.511265950143,17.0105352010461,17.8870356172833,16.60000038,2.7170187157433,12.7623809853515,21.098851640792,26.89999962
"Allium hollandicum",19,FALSE,7,18,19,0.00178101317918777,18.2179428437501,18.8498527773377,19.8968515680729,18.80000114,0.305805674668422,4.85593632130928,9.62324062313747,19.70000076
"Symphytum officinale",18,FALSE,7,12,18,0.000696379973403339,22.2443796851189,23.2752588790696,24.6082802245121,24,2.63491264393067,13.1090035529524,22.3362547071732,19.70000076
"Quercus ilex",28,FALSE,5,20,28,0.000414298006642356,22.8167089921843,23.978726415701,26.3712026229857,26.20000076,3.72162859155795,16.1830083576483,26.5473186099946,26.5
"Rubus orthostachys",29,FALSE,6,18,29,0.000291865688229946,21.3799069641171,21.8432053762945,22.6756761008861,21.30000114,4.43739981160884,18.3365222421403,29.7734387872988,26.20000076
"Conium maculatum",26,FALSE,7,21,26,0.00115752321693918,23.1339239462086,23.9313747585607,25.2345976499526,24.5,3.36451591581315,15.3795525081987,25.7051289174387,24.39999962
"Rapistrum rugosum",29,FALSE,4,14,29,0.00123960143999623,21.9963962649813,22.9049208202271,24.9703846987755,26.5,2.70661357424997,12.8461544736139,21.212378410539,12.90000057
"Pisum sativum",36,TRUE,10,22,36,0.00175578960238889,21.3695153532568,22.4794876863577,27.9659917645411,28.5,2.9567485947979,13.9973273871843,23.1899040697767,2.299999952
"Rorippa sylvestris",26,FALSE,8,24,26,0.000603508174748285,20.9346885231576,21.55685475603,22.5853677265031,21.60000038,2.24702042526939,11.8837214280291,20.5904559335605,22
"Cirsium vulgare",105,FALSE,18,70,105,0.00168970599965516,25.4020765954006,26.3916450300174,27.8091527856418,27,2.14992596073838,12.2661096934559,22.196522443809,6.700000286
"Magnoliopsida spc",70,FALSE,12,39,70,0.00194737657306102,27.0075568229139,28.1715586971362,29.692060772671,30.10000038,0,3.79076728741587,8.35435064482573,0
"Rubus silvaticus",29,FALSE,2,19,29,0.000407718023459179,22.7863906723083,23.3548412844103,24.3018703012392,22.80000114,0.543068412718994,6.03370889409533,11.9569960929261,3.799999952
"Lotus pedunculatus",30,FALSE,8,17,30,0.00110892339861372,22.2006696999095,22.713930795782,23.6093541423629,22.20000076,1.04292447114372,8.21214107761043,15.9479478641585,6.700000286
"Crepis capillaris",117,FALSE,13,65,117,0.00245107813162377,21.7336184239545,22.9354968299743,24.6014361744256,24.10000038,8.68035740732232,29.2326204455784,43.9019123584783,0.5
"Rubus hypomalacus",42,FALSE,3,26,42,0.000891035383029341,21.7881828327532,22.2828660712335,23.2098288042338,22.80000114,2.60082796740785,12.92723447454,21.9837291213434,3.799999952
"Thalictrum minus",9,FALSE,3,6,9,0.000178725398701688,19.8233805251895,20.2771871275916,21.0735392095307,19.20000076,1.16144986181686,8.15797720862689,14.9814505387218,27.80000114
"Sonchus arvensis",52,FALSE,15,32,52,0.00133787649252938,20.9458722536169,24.0818956416253,26.0619198685476,25.5,10.9772443451703,43.9230510164201,67.274339999082,12.60000038
"Anethum graveolens",26,FALSE,6,12,26,0.000970273454754936,28.9557252627056,29.4546045828528,30.2987452623382,28.5,0,3.12146198509877,7.25185215289264,0
"Campanula portenschlagiana",8,FALSE,3,6,8,0.000194776162858662,20.8940619980157,21.5321402286873,22.4957188406964,20.89999962,1.42418014860031,8.89648561425145,15.7236700686668,26.5
"Hydrangea petiolaris",24,FALSE,6,19,24,0.00145094084821917,20.2538506240963,20.722274465741,21.5627768964871,20.20000076,0.10308879543989,4.03149653362903,8.29907056533093,18.10000038
"Chaerophyllum temulum",9,FALSE,6,7,9,0.000367492234629191,20.3904425723937,21.075468874624,22.2745303850516,21.39999962,0.463399958769082,5.46342967526203,10.5909203941195,26.60000038
"Rhus glabra",10,FALSE,3,7,10,0.000229051895210535,20.4506459097532,20.8817802869519,21.6489423997282,19.70000076,0.475425268180414,5.53819838192316,10.7739342784042,26.5
"Centaurea nigra",30,FALSE,5,16,30,0.0007630190399467,21.0325793804313,21.639688738097,22.6372977572291,22.10000038,4.89784147302519,18.595950464069,29.0703528220269,27.80000114
"Rhus typhina",19,FALSE,5,15,19,0.000268614799296275,20.2661191387768,20.7932886867027,21.6945448538815,20.20000076,2.12668386632459,11.3025485652993,19.4401823148856,21.30000114
"Tanacetum vulgare",85,FALSE,14,50,85,0.00283446071265928,22.4722387343504,23.3420242994167,24.6095619916274,24.60000038,22.7111525035345,42.9971158642915,54.2708186931663,40.90000153
"Senecio inaequidens",7,FALSE,4,7,7,6.74351501374324e-05,19.6792648694595,20.0648680917353,20.7852069088445,18.89999962,52.5773417951386,70.1965220711156,79.6081873917771,104.2000046
"Buddleja albiflora",18,FALSE,2,11,18,0.000263725900860865,20.9784718749514,21.4297701702063,22.2911470014096,21.39999962,12.5652782868227,30.3356937495512,41.0871127424991,51.60000229
"Alopecurus myosuroides",6,FALSE,3,5,6,7.95816924102256e-05,20.3474320224271,20.7893241662663,21.569715317768,19.60000038,1.51299326352947,9.27528619658784,16.5107052702569,29.80000114
"Bryonia dioica",37,FALSE,8,19,37,0.000852363210564921,25.0244985384249,26.0258324464136,27.2334413735596,26.20000076,0.265676819067937,4.90157551431447,10.1237386300911,0
"Calystegia sepium",6,FALSE,4,5,6,6.42300856307398e-05,26.7520247637008,27.2433181800996,28.0698426530048,26.20000076,0.611083523175794,6.64623030785457,13.8427234732234,10.30000019
"Chamaenerion angustifolium",52,FALSE,10,27,52,0.00145551723687197,19.1950791220985,19.8233995402515,20.8278551134069,19.5,5.68017786309675,23.193688108632,39.2935984388687,24.60000038
"Parthenocissus quinquefolia",76,FALSE,15,46,76,0.00179940491631768,21.6746830251574,22.6268685946781,24.952498144196,25,12.400456035068,32.4882698965478,45.0379496176124,24.20000076
"Hydrangea quercifolia",19,FALSE,4,15,19,0.000803020510433357,21.0620625042586,21.5591658349567,22.4429546400013,20.89999962,3.32833680725423,15.0564318766375,25.1601827141672,28.39999962
"Solanum villosum",47,FALSE,10,24,47,0.00109537640993716,23.9012246097518,25.0813052655796,26.4122948957366,25.39999962,5.26139970705424,34.6740007059858,59.5223765899709,0
"Bistorta amplexicaulis",17,FALSE,2,9,17,0.000231215744380135,19.6317789316453,20.0114369955934,20.7219929005468,19.10000038,48.2659221465857,65.6814427859123,74.969226206919,97
"Solanum americanum",8,FALSE,1,4,8,0.000183108243234072,20.0684409969883,20.4489738052808,21.1614500706084,19.10000038,44.2804405409416,62.0827560127366,71.6173633967874,97
"Eschscholzia californica",13,FALSE,5,11,13,0.000112486034718984,22.4884840087141,23.1750996012486,24.1628461197537,22.60000038,5.6442233664835,19.9703299284607,30.7983326160537,39.40000153
"Aralia elata",10,FALSE,4,9,10,0.000215452254837507,20.8362371364308,21.2608075179042,22.0235535760246,20,36.7439613894069,55.2698817178503,65.1343652505888,82.09999847
"Ranunculus polyanthemos",11,FALSE,3,8,11,0.000175422485571529,17.7930934844522,18.2752181068522,19.2127375830143,18.30000114,17.4810428033512,39.3968245794008,51.8332673334336,39.40000153
"Clusia spc",38,FALSE,14,27,38,0.000608155654605014,23.4479598141584,26.7895501865971,28.4079508065607,27.39999962,0.0867814807605073,4.14300887079673,8.89297859335013,4.900000095
"Cistus creticus",67,FALSE,6,20,67,0.00548139933420419,26.3563424353947,27.4384321108465,29.0649726141224,28.5,0.400000006,2.48680894938173,5.7853293851449,0.400000006
"Anthriscus cerefolium",21,FALSE,4,17,21,0.00182201864254009,18.0369028727519,18.4304040057274,19.1583184562435,17.30000114,7.5785814245757,22.5031755465646,32.0044258301976,22.89999962
"Trifolium nigrescens",42,FALSE,5,23,42,0.00091618991905724,21.1835149143409,21.9901615477997,23.2363656892828,23.30000114,14.2699015306274,33.0327145575664,44.1706493762377,34.60000229
"Plantago coronopus",51,FALSE,6,21,51,0.0021136803602238,27.0293056175622,27.7109071488882,28.8227051832815,27.70000076,0,2.88139822230727,6.55246573456779,0
"Viola tricolor",29,FALSE,10,20,29,0.000447000695508192,19.1167466072917,20.2629805918215,22.2306247468581,22.70000076,35.4073563063933,64.2549704241807,81.6376526596331,59.20000076
"Punica granatum",68,FALSE,8,33,68,0.00234967274393541,25.8917685033514,26.7073881066587,29.1253335852882,30.10000038,0.100000001,2.6699173979485,6.08777954199273,0.100000001
"Sisymbrium orientale",9,FALSE,3,6,9,0.000290261369363306,25.1878133954876,25.721555097471,26.5983517347425,24.89999962,6.70344953866238,20.91572452188,30.2045256905073,31.89999962
"Morus alba",26,FALSE,5,21,26,0.00059279923984514,17.7558395984461,18.1811126642547,18.9619087798574,17.5,6.45352630030851,21.0941773392811,30.9742144553723,22.89999962
"Allium spc",22,FALSE,7,13,22,0.00117658035012673,28.1744195134443,28.8704090994824,29.8841210020565,28.5,2.299999952,3.47098563480423,7.51089588477828,2.299999952
"Acer tataricum",11,FALSE,3,9,11,0.000317152452486523,18.1689231962042,18.573754886739,19.3239359190873,17.39999962,3.79976103865772,16.1309032396575,26.4009069561875,36
"Tilia tomentosa",26,FALSE,5,20,26,0.000397641646678764,24.2737845240383,24.9559615342517,26.0137834533765,24.80000114,4.50530709558433,18.1072858785528,28.7156296003079,24.39999962
"Medicago sativa",29,FALSE,8,22,29,0.000953605630779699,26.9008835694227,27.4700551871401,28.4305238763148,27.5,0.202375335484489,4.7241570663171,10.0690725666924,0.300000012
"Vitis vinifera",67,TRUE,12,51,67,0.00154122857455901,22.5557546185422,23.943774979613,25.4809783060524,24.5,1.8392226282693,11.0303584092102,19.9003504332919,4.900000095
"Rubus praecox",15,FALSE,2,9,15,0.000134590602791184,24.4856037741142,25.5476342144912,26.962177117515,26.20000076,9.23226137126081,31.7367440788041,47.9533100600465,19.89999962
"Juglans regia",18,TRUE,5,15,18,0.000394346928880988,18.605179800113,19.944441003801,24.6914578785131,24.70000076,9.57425349099712,28.004782355528,40.489384741761,32.90000153
"Reseda luteola",9,FALSE,5,5,9,0.000352222062279434,25.7366071338511,26.2322372199827,27.0696023345628,25.39999962,0.774990456412414,6.9633896157973,13.4181709143943,4.5
"Sanguisorba minor",20,FALSE,7,16,20,0.000335889679792823,19.7344912634813,20.9769119888596,22.6230084787212,21.70000076,12.4184683870228,29.443534784149,39.4669060753771,51.10000229
"Chondrilla ramosissima",40,FALSE,6,24,40,0.00177988738863359,29.8206543183472,30.7051105634201,31.8075761293576,30.5,0,1.38968466659471,3.71163385835953,0
"Cannabis sativa",45,TRUE,9,23,45,0.00108893239327758,25.3281802371756,25.8764661326366,26.8123587781939,25.89999962,4.07575619960006,17.8106550602415,28.9247103861064,13.69999981
"Onopordum acanthium",18,FALSE,3,13,18,0.000484268813740066,24.3761031685496,25.0331939237987,26.0116892023014,24.80000114,5.70888742284949,20.7739740154735,31.2980935692358,24.30000114
"Loranthus europaeus",13,FALSE,7,13,13,0.000811914878433689,18.7706589281536,19.2373861874979,20.0539776478719,18.30000114,16.3510431273397,34.683576348369,45.6265905663348,54.70000076
"Tribulus terrestris",41,FALSE,8,23,41,0.00142840719671481,30.3765992325245,31.0136572363367,31.9836565037852,30.5,0.100000001,1.53760577126502,3.99274370111921,0.100000001
"Parthenocissus spc",57,FALSE,11,40,57,0.00164105928177756,22.2426735728051,23.3451869417194,25.0948604226968,25.60000038,6.51881139086699,22.6655243210287,33.9791111722509,23.10000038
"Verbascum sinuatum",27,FALSE,2,11,27,0.000731627365855218,27.7974641503891,28.2935714397534,29.1818806897119,27.70000076,1.800000072,2.0654985069015,4.94117143945105,1.800000072
"Crepis setosa",42,FALSE,10,30,42,0.000926610943712819,24.5923314919407,25.0884267176763,25.9515538855398,24.89999962,13.3388091093867,33.4189374653502,45.3646269131462,10.5
"Centaurea solstitialis",23,FALSE,5,12,23,0.00106112797091338,26.7600435218134,27.2142423457892,28.0201793224753,26.20000076,0.300000012,2.04342686483932,4.94159508593395,0.300000012
"Rubus sanctus",70,FALSE,3,18,70,0.00195707212712648,27.329205298321,27.8521215069172,28.7752664880893,27.70000076,0.300000012,3.04989339069298,6.79922683190648,0.300000012
"Trifolium pallidum",20,FALSE,4,10,20,0.00134230321797649,23.7785387851584,24.4739168715506,25.6213328049965,25.39999962,3.73631620063415,17.8009211562537,30.0669292588587,11.10000038
"Trifolium squamosum",45,FALSE,5,20,45,0.0023930030906173,25.4048747675499,25.9956181608481,26.9464429030859,26,1.10499273003615,8.28448259868837,15.7549682069202,10.5
"Verbascum nigrum",57,FALSE,8,21,57,0.0013148961210274,26.7362022991066,27.6833024336145,28.9005595866733,27.70000076,0.577823586699418,6.11590219861739,12.0117753902394,1.100000024
